publish_date,platform,metric,views,reach,likes,comments,shares,clicks,label
2026-05-04,Facebook,video_views,70000,98340,434,,,,remax-mad-at-wrong-people-BREAKOUT
2026-05-05,Facebook,video_views,941,1028,5,,,,compass-economist-disappointing
2026-05-22,Facebook,video_views,909,921,9,,,,federal-judge-mls-zillow-a
2026-05-12,Facebook,video_views,820,845,4,,,,forget-legal-jargon
2026-05-22,Facebook,video_views,762,799,4,,,,federal-judge-mls-zillow-b
2026-05-25,Facebook,video_views,750,751,3,,,,43000-chicago-listings
2026-05-27,Facebook,video_views,730,731,3,,,,seller-billboard-private
2026-05-24,Facebook,video_views,659,668,1,,,,62pct-companies-ai
2026-05-21,Facebook,video_views,586,597,1,,,,ai-daily-briefing-kristy-GUESTCLIP
2026-05-28,Facebook,video_views,580,577,3,,,,72pct-agents-ai
2026-05-06,Facebook,video_views,573,599,1,,,,nar-300k-budget
2026-05-28,Facebook,video_views,559,581,1,,,,buyers-waiting-5pct-rates
2026-05-15,Facebook,video_views,527,556,0,,,,off-market-1.3b
2026-05-21,Facebook,video_views,513,507,1,,,,she-closed-6m
2026-05-15,Facebook,video_views,501,561,4,,,,dual-agency-hurts-2165
2026-05-06,Facebook,video_views,488,511,2,,,,nar-300k-3things
2026-05-31,Facebook,video_views,431,434,3,,,,nar-mls-filter-rules
2026-05-06,Facebook,video_views,345,363,1,,,,brokerage-20k
2026-05-11,Facebook,video_views,342,357,1,,,,88pct-buyers
2026-05-13,Facebook,video_views,318,320,0,,,,kevin-warsh
2026-05-07,Facebook,video_views,279,288,1,,,,listing-presentations
2026-05-01,Facebook,video_views,268,264,3,,,,hud-crime-schools
2026-05-18,Facebook,video_views,261,264,3,,,,ai-visibility-chris-linsell-GUESTCLIP
2026-05-05,Facebook,post_views,616,362,10,1,3,7,new-kir-ep-bella-chaffey-PODCAST
2026-05-28,Facebook,post_views,180,114,3,1,1,6,want-coaching-session-PODCAST
2026-05-25,YouTube,video_views,1218,,36,1,5,,43000-vanished-judge
2026-05-04,YouTube,video_views,1173,,20,0,1,,remax-mad-wrong-people
2026-05-06,YouTube,video_views,960,,6,0,0,,brokerage-loses-20k
2026-05-13,YouTube,video_views,940,,14,1,1,,new-fed-chair-same-rates
2026-05-12,YouTube,video_views,932,,10,1,0,,zillow-sued-mred
2026-05-02,YouTube,video_views,637,,11,0,1,,nar-next-capitol-hill
2026-05-25,YouTube,video_views,614,,7,0,1,,one-city-two-markets
2026-05-18,YouTube,video_views,574,,3,0,0,,mortgage-buydowns-GUESTCLIP
2026-05-17,YouTube,video_views,559,,4,0,0,,every-year-three-states
2026-05-22,YouTube,video_views,344,,5,0,3,,judge-ordered-mls
2026-05-27,YouTube,video_views,297,,0,0,0,,seller-saw-compass-billboard
2026-05-15,YouTube,video_views,292,,6,0,0,,off-market-1.3b
2026-05-17,YouTube,video_views,291,,2,0,0,,buyer-wants-write
2026-05-18,YouTube,video_views,289,,1,0,1,,mred-pulled-zillow-feed
2026-05-18,YouTube,video_views,251,,2,0,1,,tomorrow-noon-webinar
2026-05-01,YouTube,video_views,211,,1,0,1,,hud-crime-schools
2026-05-08,YouTube,video_views,161,,1,0,1,,unpopular-chris-linsell-GUESTCLIP
2026-05-31,YouTube,video_views,160,,0,0,0,,nar-published-rules
2026-05-11,YouTube,video_views,142,,1,1,0,,ai-didnt-kill-agent
2026-05-15,YouTube,video_views,142,,0,0,0,,dual-agency-2165
2026-05-06,YouTube,video_views,139,,0,0,1,,nar-300k
2026-05-24,YouTube,video_views,125,,3,0,0,,everybody-experimenting-ai
2026-05-28,YouTube,video_views,111,,1,0,0,,72pct-agents-workflow
2026-05-08,YouTube,video_views,98,,0,0,0,,april-jobs-report
2026-05-05,YouTube,video_views,86,,0,0,0,,compass-disappointing
2026-05-01,TikTok,views,2635,2383,75,14,66,,hud-crime-schools-TOP
2026-05-04,TikTok,views,2337,2005,51,3,20,,12yo-company-bought-remax
2026-05-12,TikTok,views,1557,1381,35,2,8,,forget-legal-jargon
2026-05-13,TikTok,views,954,881,15,0,0,,kevin-warsh
2026-05-22,TikTok,views,879,814,16,9,1,,federal-judge-mls
2026-05-17,TikTok,views,601,563,10,5,2,,zillow-3-years
2026-05-02,TikTok,views,571,521,10,4,0,,6-of-us-nar
2026-05-06,TikTok,views,555,517,13,0,0,,brokerage-loses-20k
2026-05-06,TikTok,views,508,453,11,2,1,,nar-budgeted-300k
2026-05-21,TikTok,views,454,408,17,2,1,,closed-6m-cant-prospect
2026-05-19,TikTok,views,453,402,13,1,4,,4pct-open-house
2026-05-17,TikTok,views,402,368,5,4,1,,buyer-wants-write
2026-05-25,TikTok,views,383,347,7,0,1,,quarter-chicago-pending
2026-05-05,TikTok,views,328,284,4,0,1,,compass-economist
2026-05-11,TikTok,views,263,234,5,0,1,,88pct-buyers
2026-05-15,TikTok,views,258,237,7,1,0,,off-market-1.3b
2026-05-07,TikTok,views,245,222,5,1,0,,listing-presentations
2026-05-25,TikTok,views,227,206,3,0,0,,43000-disappeared
2026-05-27,TikTok,views,190,166,5,0,0,,seller-billboard
2026-05-18,TikTok,views,164,150,4,0,1,,seller-text-7am
2026-05-24,TikTok,views,149,133,3,0,0,,62pct-companies
2026-05-28,TikTok,views,112,103,3,0,0,,72pct-ai-daily
2026-05-04,LinkedIn,impressions,2266,,7,2,,223,remax-mad-wrong-people-TOP
2026-05-06,LinkedIn,impressions,149,,0,0,,1,brokerage-20k
2026-05-22,LinkedIn,impressions,148,,3,0,,4,federal-judge-zillow
2026-05-27,LinkedIn,impressions,108,,0,1,,6,seller-billboard
2026-05-19,LinkedIn,impressions,88,,1,0,,4,4pct-open-house
2026-05-07,LinkedIn,impressions,73,,1,0,,2,listing-presentations
2026-05-15,LinkedIn,impressions,62,,0,0,,2,dual-agency-hurts
2026-05-25,LinkedIn,impressions,49,,0,0,,1,43000-listings
2026-05-17,LinkedIn,impressions,42,,1,0,,,zillow-3-years
2026-05-11,LinkedIn,impressions,39,,1,0,,,88pct-buyers
2026-05-21,LinkedIn,impressions,27,,1,0,,,ai-daily-briefing-kristy-GUESTCLIP
2026-05-02,LinkedIn,impressions,23,,1,0,,,6-of-us-nar
2026-05-05,LinkedIn,impressions,19,,1,0,,,compass-economist
2026-05-06,LinkedIn,impressions,15,,2,0,,,nar-300k
2026-05-21,LinkedIn,impressions,13,,1,0,,,23yo-closed-6m
