publish_date,account,account_type,post_type,views,reach,likes,comments,shares,saves,follows,label
2026-04-21,delfin.paris,personal,reel,269,218,1,0,0,0,0,commission-lawsuits-taylor-v-zillow
2026-04-22,delfin.paris,personal,reel,263,202,2,0,0,0,0,stop-chatgpt-emails
2026-04-23,delfin.paris,personal,image,653,400,18,3,1,0,0,munch-march-cats-PERSONAL
2026-04-23,delfin.paris,personal,image,541,336,7,3,2,0,0,nowatch-stress-monitor-PERSONAL
2026-04-24,delfin.paris,personal,reel,365,296,3,0,2,0,2,biggest-shift-mred-nationwide
2026-04-28,delfin.paris,personal,reel,283,220,6,0,0,0,0,top-producers-losing-leverage
2026-04-28,delfin.paris,personal,reel,288,232,6,0,3,0,0,chicago-7x-appreciation
2026-05-01,delfin.paris,personal,reel,260,211,3,1,0,0,0,hud-crime-schools-rule
2026-05-02,delfin.paris,personal,reel,256,205,4,1,0,1,0,6-of-us-nar-capital-gains
2026-05-04,delfin.paris,personal,reel,335,162,3,0,2,0,0,remax-mad-at-wrong-people
2026-05-05,delfin.paris,personal,reel,248,188,7,1,9,0,1,compass-economist-disappointing
2026-05-06,delfin.paris,personal,reel,271,210,6,0,1,0,0,nar-300k-quit-budget
2026-05-06,delfin.paris,personal,reel,305,232,5,1,0,0,0,brokerage-20k-volunteer-policy
2026-05-07,delfin.paris,personal,reel,152,114,4,0,0,0,0,listing-presentations-dont-matter
2026-05-08,delfin.paris,personal,image,81,48,8,0,0,0,0,social-distortion-album-PERSONAL
2026-05-08,delfin.paris,personal,reel,212,169,0,0,0,0,0,jobs-report-next-listing
2026-05-11,delfin.paris,personal,image,495,270,18,0,0,0,0,crepes-mothers-day-PERSONAL
2026-05-11,delfin.paris,personal,reel,235,198,1,0,0,0,0,88pct-buyers-use-agent
2026-05-12,delfin.paris,personal,reel,239,189,2,0,0,0,1,zillow-mred-means-this-week
2026-05-13,delfin.paris,personal,reel,204,168,2,0,0,0,1,kevin-warsh-fed-chair
2026-05-14,delfin.paris,personal,reel,100,84,3,0,0,0,0,no-listings-losing-pending-high
2026-05-15,delfin.paris,personal,image,644,377,11,0,2,1,0,bowling-league-PERSONAL
2026-05-15,delfin.paris,personal,reel,264,202,4,2,0,0,0,dual-agency-2165
2026-05-16,delfin.paris,personal,reel,228,182,7,0,0,0,0,off-market-1.3b
2026-05-17,delfin.paris,personal,reel,243,176,4,0,2,0,0,zillow-3-years-dual-agency
2026-05-17,delfin.paris,personal,reel,225,190,4,0,0,0,0,nobody-wants-pet-photos-PERSONAL
2026-05-17,delfin.paris,personal,reel,255,212,3,0,0,0,0,buyer-wants-to-write-exact-line
2026-05-18,delfin.paris,personal,reel,251,198,3,0,0,0,0,dual-agency-1.5b-offmls-1.3b
2026-05-18,delfin.paris,personal,reel,171,122,5,1,0,0,0,mred-stop-syndicating-heads-up
2026-05-18,delfin.paris,personal,reel,134,105,4,0,0,0,0,webinar-tomorrow-noon
2026-05-19,delfin.paris,personal,reel,214,183,3,0,0,0,0,4pct-buyers-open-house
2026-05-21,delfin.paris,personal,reel,370,284,7,5,1,1,1,emma-6m-breakthrough-michael
2026-05-22,delfin.paris,personal,reel,1148356,593449,605,17,74,112,50,federal-judge-mls-zillow-VIRAL
2026-05-23,delfin.paris,personal,image,245,144,6,0,0,0,0,best-girl-pals-tv-PERSONAL
2026-05-24,delfin.paris,personal,reel,252,212,2,0,0,0,1,62pct-companies-ai-agents
2026-05-25,delfin.paris,personal,reel,242,210,1,0,0,0,0,quarter-chicago-pending-week
2026-05-25,delfin.paris,personal,reel,470,385,9,0,0,1,0,starburst-cat-PERSONAL
2026-05-25,delfin.paris,personal,reel,2196,1499,13,0,0,1,0,43000-listings-judge-restored
2026-05-26,delfin.paris,personal,reel,393,303,4,2,1,0,2,price-like-appraiser-event
2026-05-27,delfin.paris,personal,reel,250,209,11,1,0,1,0,appraiser-pricing-event-thu
2026-05-27,delfin.paris,personal,reel,235,194,4,0,1,0,0,seller-billboard-go-private
2026-05-28,delfin.paris,personal,reel,172,152,2,0,0,1,0,72pct-agents-ai-workflow
2026-05-29,delfin.paris,personal,reel,123,85,0,0,0,0,0,rates-highest-since-august
2026-05-30,delfin.paris,personal,reel,159,135,0,0,0,0,1,next-listing-client-posted-signals
2026-05-31,delfin.paris,personal,reel,214,178,1,0,0,0,0,nar-mls-filter-rules-8.5
2026-06-01,delfin.paris,personal,reel,101,83,3,0,0,0,0,85pct-agents-not-on-tiktok
2026-04-21,topagentinterviews,biz,reel,132,116,0,0,0,0,0,commission-lawsuits-taylor-v-zillow
2026-04-22,topagentinterviews,biz,reel,73,61,1,0,0,0,0,stop-chatgpt-emails
2026-04-23,topagentinterviews,biz,reel,205,171,4,0,4,0,1,mentor-danny-brown-GUESTCLIP
2026-04-24,topagentinterviews,biz,reel,624,453,24,2,3,0,1,hoa-fees-austin-clarence-GUESTCLIP
2026-04-24,topagentinterviews,biz,reel,165,143,0,0,0,0,0,biggest-shift-mred-nationwide
2026-04-25,topagentinterviews,biz,reel,150,142,0,0,0,0,0,2-1-buydown-austin-GUESTCLIP
2026-04-26,topagentinterviews,biz,reel,131,115,1,0,0,0,0,consistent-calls-debbie-GUESTCLIP
2026-04-27,topagentinterviews,biz,reel,178,162,0,0,2,0,0,mentor-habit-debbie-GUESTCLIP
2026-04-28,topagentinterviews,biz,reel,216,184,2,0,1,0,1,prospecting-debbie-GUESTCLIP
2026-04-28,topagentinterviews,biz,reel,188,163,1,0,0,0,0,top-producers-losing
2026-04-28,topagentinterviews,biz,reel,128,120,1,0,0,0,0,chicago-7x
2026-05-01,topagentinterviews,biz,reel,147,134,0,0,0,0,0,hud-crime-schools
2026-05-02,topagentinterviews,biz,reel,181,153,2,0,0,0,0,6-of-us-nar
2026-05-05,topagentinterviews,biz,reel,116,89,0,0,0,0,0,compass-economist
2026-05-06,topagentinterviews,biz,reel,214,165,1,0,0,0,0,nar-300k
2026-05-06,topagentinterviews,biz,reel,136,117,1,0,0,0,0,brokerage-20k
2026-05-07,topagentinterviews,biz,reel,115,97,1,0,0,0,0,listing-presentations
2026-05-08,topagentinterviews,biz,reel,52,38,0,0,0,0,0,jobs-report
2026-05-11,topagentinterviews,biz,reel,129,128,1,0,0,0,0,88pct-buyers
2026-05-12,topagentinterviews,biz,reel,150,129,1,0,0,0,0,zillow-mred-means
2026-05-13,topagentinterviews,biz,reel,142,129,0,0,0,0,0,kevin-warsh
